model_short,model_full,asset,asset_type,parent_element,stride_letter,stride_label,scenario,scenario_id,to_be_assessed
Medini,Medini Analyze (tool-generated),Mono + Stereo,component,Mono + Stereo,I,Information Disclosure,Information Disclosure of Mono + Stereo,T001,true
Medini,Medini Analyze (tool-generated),Mono + Stereo,component,Mono + Stereo,T,Tampering,Tampering of Mono + Stereo,T002,true
Medini,Medini Analyze (tool-generated),Mono + Stereo,component,Mono + Stereo,D,Denial of Service,Denial of Service of Mono + Stereo,T003,true
Medini,Medini Analyze (tool-generated),Mono + Stereo,component,Mono + Stereo,S,Spoofing,Spoofing of Mono + Stereo,T004,true
Medini,Medini Analyze (tool-generated),Mono + Stereo,component,Mono + Stereo,E,Elevation of Privilege,Elevation of Privilege of Mono + Stereo,T005,true
Medini,Medini Analyze (tool-generated),Mono + Stereo,component,Mono + Stereo,R,Repudiation,Repudiation of Mono + Stereo,T006,true
Medini,Medini Analyze (tool-generated),Mono + Stereo::image_out,port,Mono + Stereo,I,Information Disclosure,Information Disclosure of image_out,T007,true
Medini,Medini Analyze (tool-generated),Mono + Stereo::image_out,port,Mono + Stereo,T,Tampering,Tampering of image_out,T008,true
Medini,Medini Analyze (tool-generated),Mono + Stereo::image_out,port,Mono + Stereo,D,Denial of Service,Denial of Service of image_out,T009,true
Medini,Medini Analyze (tool-generated),image_out ↔ image_in,data flow,image_out,I,Information Disclosure,Information Disclosure of image_out ↔ image_in,T010,true
Medini,Medini Analyze (tool-generated),image_out ↔ image_in,data flow,image_out,T,Tampering,Tampering of image_out ↔ image_in,T011,true
Medini,Medini Analyze (tool-generated),image_out ↔ image_in,data flow,image_out,D,Denial of Service,Denial of Service of image_out ↔ image_in,T012,true
Medini,Medini Analyze (tool-generated),YOLOv5 fast path,component,YOLOv5 fast path,I,Information Disclosure,Information Disclosure of YOLOv5 fast path,T013,true
Medini,Medini Analyze (tool-generated),YOLOv5 fast path,component,YOLOv5 fast path,T,Tampering,Tampering of YOLOv5 fast path,T014,true
Medini,Medini Analyze (tool-generated),YOLOv5 fast path,component,YOLOv5 fast path,D,Denial of Service,Denial of Service of YOLOv5 fast path,T015,true
